timestamp,ppg,label,stage,hand
1582540967407,2840519,0,0,0
1582540967506,2841041,0,0,0
1582540967606,2841749,0,0,0
1582540967705,2842191,0,0,0
1582540967805,2840790,0,0,0
1582540967905,2839749,0,0,0
1582540968005,2839451,0,0,0
1582540968105,2839448,0,0,0
1582540968205,2839659,0,0,0
1582540968306,2840314,0,0,0
1582540968405,2841247,0,0,0
1582540968505,2842146,0,0,0
1582540968606,2841598,0,0,0
1582540968705,2840560,0,0,0
1582540968806,2840584,0,0,0
1582540968906,2840407,0,0,0
1582540969006,2840672,0,0,0
1582540969106,2841242,0,0,0
1582540969197,2842108,0,0,0
1582540969296,2842650,0,0,0
1582540969396,2841342,0,0,0
1582540969497,2840811,0,0,0
1582540969596,2840911,0,0,0
1582540969696,2840717,0,0,0
1582540969797,2841227,0,0,0
1582540969896,2841882,0,0,0
1582540969996,2842538,0,0,0
1582540970097,2841377,0,0,0
1582540970196,2840190,0,0,0
1582540970296,2839921,0,0,0
1582540970397,2839699,0,0,0
1582540970496,2839742,0,0,0
1582540970596,2840400,0,0,0
1582540970697,2841234,0,0,0
1582540970796,2840201,0,0,0
1582540970896,2838906,0,0,0
1582540970997,2838461,0,0,0
1582540971097,2838243,0,0,0
1582540971196,2838340,0,0,0
1582540971297,2838874,0,0,0
1582540971397,2839601,0,0,0
1582540971497,2839639,0,0,0
1582540971597,2838108,0,0,0
1582540971697,2837439,0,0,0
1582540971808,2836940,0,0,0
1582540971898,2837008,0,0,0
1582540971998,2837380,0,0,0
1582540972098,2838130,0,0,0
1582540972198,2839077,0,0,0
1582540972298,2839001,0,0,0
1582540972398,2837726,0,0,0
1582540972499,2837483,0,0,0
1582540972598,2837376,0,0,0
1582540972698,2837502,0,0,0
1582540972799,2837924,0,0,0
1582540972899,2838807,0,0,0
1582540972999,2839681,0,0,0
1582540973100,2839096,0,0,0
1582540973199,2838452,0,0,0
1582540973300,2838263,0,0,0
1582540973400,2838255,0,0,0
1582540973500,2838664,0,0,0
1582540973600,2839264,0,0,0
1582540973700,2840337,0,0,0
1582540973800,2840884,0,0,0
1582540973900,2840170,0,0,0
1582540974000,2839587,0,0,0
1582540974100,2839775,0,0,0
1582540974200,2839901,0,0,0
1582540974300,2840644,0,0,0
1582540974400,2841278,0,0,0
1582540974500,2842400,0,0,0
1582540974600,2842681,0,0,0
1582540974700,2841716,0,0,0
1582540974800,2841425,0,0,0
1582540974901,2841607,0,0,0
1582540975001,2841715,0,0,0
1582540975101,2842404,0,0,0
1582540975200,2843104,0,0,0
1582540975299,2844038,0,0,0
1582540975400,2843875,0,0,0
1582540975500,2842951,0,0,0
1582540975599,2842745,0,0,0
1582540975699,2842743,0,0,0
